Reaction,Flux
PMI12346PH,0.0
PMI1346PH,0.0
PNTOt2,0.0
POLYAO,0.0
POLYAO2,0.0
PPNCL2,7.870957127814604e-06
PROt2r,0.0
PSPHPL,0.0
PTE2x,0.0
PUNP1m,0.0
PUNP3m,0.0
PUNP7,0.0
PYAM5PO,-5.0234641533047417e-08
PYDXNO,0.0
PYDXO,-5.0234641533047417e-08
PYR5CDm,0.0
PYRt2,0.0
PYRt2m,0.5133918979385804
QUILSYN,0.0
RBFKm,0.0
RIBFLVt2,0.0
RNDR1n,0.0
RNDR2n,0.0
RNDR3n,0.0
RNDR4n,0.0
RNMK,0.0
RNTR1,0.0
RNTR2,0.0
RNTR3,0.0
RNTR4,0.0
SBT_Lt,0.0
SERt2r,0.0
SLFAT,0.007803610483318749
SPHPL,0.0
SQ23EPXter,0.0018776654095759412
SQLter,0.0018776654095759412
SRB_Lt,0.0
SUCCt2r,0.0
SUCD2_u6m,0.002537187135443819
T4HCINNMFM,0.0
THIORDXi,0.0
THMDPe,0.0
THMDt2,0.0
THMPe,0.0
THMt2,0.0
THRA2i,0.0
THRD_Lm,0.0
THRt2r,0.0
THYMt3r,0.0
TMDPP,0.0
TMDPPK,0.0
TRDRm,0.0
TREt2,0.0
TRPt2r,0.0
TRPTA,0.0
TYRt2r,0.0
udpg4e,0.0
UMPKn,0.0
URAt2,0.0
UREA2t2,0.0
URIDK2rn,0.0
URIt2,0.0
VALt2r,0.0
XANt,0.0
XPPT,0.0
XTSNt2,0.0
XYLR,0.0
XYLt,0.0
XYLTt,0.0
YUMPS,0.0
ZYMSTt,0.0
NDP7,0.0
ACOAHim,0.0
NADS1n,0.0
TYRTAim,0.0
TYRTAip,0.0
FTHFLmi,0.0
GLYCDy,0.0
VALTAim,0.0
DASYNm_PP,1.7915073729834995e-05
PSERSm_PP,0.0
DHORDfum,0.0
BTDD_RR,0.0
G6PI3,0.0
PPTTm,0.0
ACON3MT,0.0
PI3P5K_PP,0.0
HEMEOSm,0.0
GGTT,0.0
C3STDH2,0.001868464849069019
C3STKR2,0.001868464849069019
C4STMO2,0.001868464849069019
PLBP1I_PPe,0.0
ACALDCD,0.0
ARAB14LO,0.0
16GS,0.0
GLCGSDv,0.0
3IPM3MT,0.0
3MOBDC,0.0
4MOPDC,0.0
ACHLE1,0.0
ACHLE2,0.0
ACHLE3,0.0
ALCD22xi,0.0
ALCD22xim,0.0
ALCD22yi,0.0
ALCD23xi,0.0
ALCD23xim,0.0
ALCD23yi,0.0
ALCD24xi,0.0
ALCD24xim,0.0
ALCD24yi,0.0
ALCD25xi,0.0
ALCD25xim,0.0
ALCD25yi,0.0
ALCD26xi,0.0
ALCD26xim,0.0
PTE10x,0.0
PTE11x,0.0
PTE7x,0.0
PTE8x,0.0
PTE9x,0.0
PCDAGAT,0.0
DHORD4i,0.006930732591692828
DHORDi,0.0
COAHLp,0.0
LPP_PP,0.0
MI13456PKn,0.0
PI35BP5P_PP,0.0
PIN4Kn_PP,0.0
PMI12346PS,0.0
PMI1346PS,0.0
HEMEOMOm,0.0
PYRDC2,0.0
SBPP2er,0.0
C22STDSx,0.0017389059358082792
LNS14DMx,0.001868464849069019
THZPSN1_PP,0.0
THZPSN2_PP,7.535196237112851e-08
2MBALDt,0.0
2MBTOHt,0.0
2MPPALt,0.0
2PHETOHt,0.0
3C3HMPt,0.0
3MBALDt,0.0
3MOPt,0.0
4ABZt,0.0
BTDt_RR,0.0
FECOSTt,0.0
G3PIt,0.0
GLXt,0.0
GLYCt2,0.0
IAMOHt,0.0
IBUTOHt,0.0
IND3ETHt,0.0
LANOSTt,0.0
NACt,0.0
NADPt,0.0
NFORTYRt,0.0
NH4ti,0.0
OAAt,0.0
PACALDt,0.0
PTRCt3i,0.0
PTRCtex2,0.0
SO3ti,0.0
SPMDt3i,0.0
SPMDtex2,0.0
SPRMt2i,0.0
TTDCAtr,0.0
GDPMANNtg,0.0
UDPGALt2g,0.0
2MBALDtm,0.0
2MBTOHtm,0.0
2MPPALtm,0.0
3DH5HPBtm,0.0
3MBALDtm,0.0
CTPtm,1.7915073729834995e-05
D_LACt2m,0.0
IAMOHtm,0.0
IBUTOHtm,0.0
IND3ETHtm,0.0
IPDPtm,0.0
PACALDtm,0.0
PENDPtm,0.0
GLUt7m,0.11741462641840661
THMPPt2m,0.0
HCO3tn,0.0
TRDOXtp,0.008050224720986725
TRDRDtp,-0.008050224720986725
ASNt6,0.0
GLNt6,0.0
GLUt7,0.0
ILEt6,0.0
LEUt6,0.0
TCHOLAabcv,0.0
NFTYROX,0.0
2DOXG6PP,0.0
THIORDXm,0.0
THIORDXni,0.0
THIORDXp,-0.008050224720986725
GCC2bim,0.0
10FTHFtm,0.0
2OXOADPTm,0.08264192385831076
3HAD100m,0.0
3HAD120m,0.0
3HAD140m,0.0
3HAD160m,0.0
3HAD180m,0.0
3HAD40m,0.0
3HAD60m,0.0
3HAD80m,0.0
3M2OBLOXRD1,0.0
3M2OBLOXRD2,0.0
3OAR100m,0.0
3OAR120m,0.0
3OAR140m,0.0
3OAR160m,0.0
3OAR180m,0.0
3OAR40m,0.0
3OAR60m,0.0
3OAR80m,0.0
3OAS100m,0.0
3OAS120m,0.0
3OAS140m,0.0
3OAS160m,0.0
3OAS180,0.0
3OAS60m,0.0
3OAS80m,0.0
3SALACBOXL,0.0
3SALATAi,0.0
3SPYRSP,0.0
5HOXINDACTO2OX,0.0
5HOXINDACTOX,0.0
5MTHFtm,0.0
AACOAT,0.0
AASAD3,0.0
ACACT10m,0.0
ACACT1x,0.051555532963430156
ACACT2rx,0.0
ACACT3rx,0.0
ACGPID,0.0
ACOAD8m,0.0
ACOAD9m,0.0
ACOAH,0.0
ACODA,0.0
ACONTx,0.0
ACPpds,0.0
ACPS1,0.0
ADPRDP,0.0
AHSERL2,-7.535196237112851e-08
ALATRSm,0.0
ALCD19,0.0
ALDD2x,0.0
ALKP,0.0
ALKPv,0.0
AM6SAD,0.0
AMCOXO,0.0
AMPTASECG,-7.535196244745634e-08
APAT2r,0.0
APRAUR,0.0
ASP1DC,7.870957127814604e-06
ASPO1,0.0
ASPO6,1.5070392459914226e-07
BBHOX,0.0
BDMT,0.0
BMTer,0.0
BPNT2,0.0
CHTNASE,0.0
COAtp,-0.051555532963430156
COAtr,0.0
CYSO,0.0
CYSSm,0.0
CYSTRSm,0.0
CYTDH,0.0
CYTDK1,0.0
DADA,0.0
DALAOX,0.0
DALAxt,0.0
DDPGA,0.0
DESAT18_10,0.0
DHAD1,0.0
DHAD2,0.0
DHPPDA2,0.0
DHPS,0.0
DOLASNT,0.0
DOLPGT1,0.0
DOLPGT2,0.0
DOLPGT3,0.0
DOLPHer,0.0
DOLPMT1,0.0
DOLPMT2,0.0
DOLPMT3,0.0
DOLPMT4,0.0
EAR100ym,0.0
EAR120ym,0.0
EAR140ym,0.0
EAR160ym,0.0
EAR180xm,0.0
EAR40ym,0.0
EAR60ym,0.0
EAR80ym,0.0
ECOAH1,0.0
ECOAH12m,0.0
ECOAH1x,0.051555532963430156
ECOAH2p,0.0
ECOAH3x,0.0
ECOAH9ir,0.0
ETFQO,0.0
FACOAE160,0.0
FACOAE180,0.0
FACOAL180,0.0
FACOAL183,0.0
FADDP,0.0
FALDH2,0.6620532500295713
FALGTHLs,0.6620532500295713
FEROc,0.0
FOLD3,0.0
FOMETR,0.0
FRDO,0.0
FTCD,0.0
FTHFDH,0.013904193344788367
FTHFDHm,0.0
G12MT1,0.0
G12MT2,0.0
G13MT,0.0
G16MT,0.0
GHMT3,0.0
GLCNACPT,0.0
GLCNACT,0.0
GLNtm,0.0
GLNTRAT,0.0
GLNTRATm,0.0
GLNTRSm,0.0
GluForTx,0.0
GLUSy,0.0
GLUTCOADHc,0.051555532963430156
GLYO,0.0
GLYtm,0.0
GLYTRSm,0.0
GNK,0.0
GPDDA2,0.0
GPIMTer,0.0
GTHRDHpp,-7.535196244745634e-08
GUACYC,0.0
H2ETer,0.0
H5MTer,0.0
H6ET3er,0.0
H6MTer,0.0
H6MTg,0.0
HACD1,0.0
HACD1x,0.051555532963430156
HACD2x,0.0
HACD3x,0.0
HACD9m,0.0
HACDp20,0.0
HACDp22,0.0
HACDp24,0.0
HIBDm,0.0
HISD,0.0
HMGLm,0.0
HSERTAm,0.0
HXAND,0.0
IZPN,0.0
KAS14m,0.0
KATp20,0.0
KATp22,0.0
KATp24,0.0
KYNAKGAT,0.0
LFORKYNHYD,0.0
LPASE,0.0
lplipa2,0.0
LTA4H,0.0
LYSMTF1n,0.0
LYSMTF2n,0.0
LYSMTF3n,0.0
M4BET2er,0.0
M4CET3er,0.0
MAN1PT2,0.02562612857714955
MAOX,0.0
MCCCrm,0.0
MCITD,0.0
ME1,0.0
MG1er,0.0
MG2er,0.0
MG3er,0.0
MGCHrm,0.0
MI13PP,0.0
MI145P6Kc,0.0
MI145PP,0.0
MI14PP,0.0
MI3PP,6.804241060067333e-05
MI4PP,0.0
MICITDm,0.0
MM8Ber,0.0
MMSAD3,0.0
MMTSAO,0.0
MTAN,0.0
MTRK,0.0
NADDP,0.0
NADDPm,0.0
NADS2m,0.0
NICRNS,0.0
NICRNSm,0.0
NODOx,0.0
NP1,0.0
NTP1,0.0
NTP1er,0.0
NTP1g,0.0
NTP1m,0.0
NTP3v,0.0
NTPP1,0.0
OPAHir,0.0
P5CRm,0.022520379812372236
PCLAD,0.0
PDHa1,0.39111851411091497
PDHa2,0.3658411702872693
PI4PP,0.0
PIACGT,0.0
PIPLC,0.0
pla2_2,0.0
plipa2,0.0
PPAtm,0.0
PPItx,0.0
PPNCL3,0.0
PROAKGOX1r,0.0
PROTRSm,0.0
PUTA3,-0.022520379812372236
SBTPD,0.0
SERTRSm,0.0
SPMDOX,0.0
SPODM,0.0
SPODMm,0.0
St,0.0
SUCCtp,0.0
THFtm,-7.221571603518995e-05
TMABADH,0.0
TMLYSOX,0.0
TRPS2,0.0
TRPS3r,0.0
UDPDOLPT,0.0
UDPGP,0.0
URCN,0.0
UREAt,0.0
VALt5m,0.0
VPAMT,0.0
XAND,0.0
XAO2,0.0
ABTDG,0.0
ASNtm,0.0
3HBCOAHLm,0.0
GLNFRDOX,0.0
FCYTB5R,0.006142936870331713
NADHKm,0.0
OSUCCCL,0.0
OSUCCCLm,0.0
ACOAO20p,0.0
ACOAO22p,0.0
ACOAO24p,0.0
ACOAO04p,0.0
ACOAO06p,0.0
ACOAO08p,0.0
GTP89H,7.535196237459796e-08
ICLx,0.0
PAPSH,0.0
TRNAALAMET,0.0
TRNAGUAMETc,0.0
TRNAGUAMETm,0.0
AKGDH1,0.0
TRPOX,0.0
ETHAMPPL,0.0
SO3FDXRD,0.0
CYSTH2SS,0.00780368583528112
FOLR,0.0
NFORAH,0.0
E3MMALOR,0.028477452725631895
DOLPPP,0.0
TRNADMPPT,0.0
HISTD,0.01009700204506013
INOSTK1,0.0
PCH,0.0
AGL_PP,0.0
PAL_PP,0.0
BDGLC1R,0.0
GLCISO,0.0
HYPTAURDH,0.0
HXDCALOR,0.0
DHORDm,0.0
ICDOXSUC,0.0
ICDOXSUCm,0.0
2OXOADOX,0.051555532963430156
PGH,0.0
PETH,0.0
PEH,0.0
URATEHO,0.0
OLIGOPK,0.0
FCYTDESAT18,0.006142936870331713
FAOXC183806x,0.0
FOLR2m,0.0
CHTNDAe,0.0
NARGNHOX,0.0
FICYTCS,-7.535196237252256e-08
4HPHACR,0.0
PDHbrm,0.3658411702872693
GALURUT,0.0
3OASTO,0.0
3M2OBLOXRD3,0.0
ECOAH9p,0.0
ECOAH10p,0.0
ECOAH12p,0.0
SBTK6,0.0
GGLUCTC,0.0
HISTD1,0.01009700204506013
RNAUUM,0.0
TRNAPSURI,0.0
TRNAPSURIm,0.0
4NPHPP,0.0
PTPPALDHT,0.0
MCPSULT,0.0
ARDENDR,0.0
13DAMPPO,0.0
ACOAD10NADm,0.0
3MOPDH3,0.0
AKGDH2,0.0
LANOSTD24,0.0
ARGTRNATR,0.0
CITCONH,0.028477452725631895
E3MMALH,0.028477452725631895
ALLTNISOR,0.0
4MOPDH3,0.0
GLUAATRANS,0.0
ASPTRNAQL,0.0
ASPTRNAQLm,0.0
NTMELYSH,0.0
LPEAT_PP,0.0
OXPTPH,7.535196237459796e-08
ALACPYRL,0.025277343823645663
4HTHBDH,0.0
BTNCBXLH,0.0
UPPDC2,0.0
FAPTPAH,7.535196237459796e-08
25DAPTPM,7.535196237459796e-08
3H3M2OPR,0.025277343823645663
3H3M2OPS,0.025277343823645663
BTNAPOCL,0.0
DHDPP,0.0
GPIAT,0.0
CERASE224,0.0
CERASE226,0.0
5HIURATEH,0.0
OHCUREIMDZLNCAR,0.0
PAOX,0.0
4HPHACS,0.0
MI3PS,6.804241060067333e-05
DKMPPDb,0.0
