Reaction,Flux
PSERDm_PP,0.0006024340211969071
2HMHMBQMTm,8.372440263564734e-08
MFAPS_PP,0.00036536941833874433
3DH5HPBMTm,8.372440263564734e-08
2HP6MPMOm,8.372440263564734e-08
2HPMBQMTm,8.372440263564734e-08
2HPMMBQMOm,8.372440263564734e-08
HBZOPT6m,8.372440263564734e-08
3OPHB5Hm,8.372440263564734e-08
3HPH5MBDCm,8.372440263564734e-08
2OBUTtm,0.0158766584718905
PStm_PP,0.0006024340211969071
COAtim,0.012518271743588744
PEtm_PP,-0.0006024340211969071
DHAtx,0.22319999999999998
G3Ptx,0.22319999999999998
FALDtx,1.0168
XU5Ptx,0.22319999999999998
Ht,-0.6675094242097872
Ex_h2o,4.780590112150668
Ex_glc_D,-0.72
Ex_nh4,-0.6024763293719696
Ex_pi,-0.016226850910161184
Ex_h,0.6512824895752234
Ex_o2,-2.9071704540652124
Ex_so4,-0.0033319344973533685
Ex_fe2,-8.372440263613617e-08
Ex_co2,2.3730679688968106
Ex_meoh,-1.24
Ex_btn,-8.372440263613617e-08
Ex_biomass,0.08372440263613617
Htr,0.004018412605982466
FAS1_4,0.008734450633891703
FAS1_6,0.008734450633891703
FAS1_8,0.008734450633891703
FAS1_10,0.008734450633891703
FAS1_12,0.008734450633891703
FAS2_4,0.008734450633891703
FAS2_6,0.008734450633891703
FAS2_8,0.008734450633891703
FAS2_10,0.008734450633891703
FAS2_12,0.008734450633891703
FAS3_4,0.008734450633891703
FAS3_6,0.008734450633891703
FAS3_8,0.008734450633891703
FAS3_10,0.008734450633891703
FAS3_12,0.008734450633891703
FAS4_4,0.008734450633891703
FAS4_6,0.008734450633891703
FAS4_8,0.008734450633891703
FAS4_10,0.008734450633891703
FAS4_12,0.008734450633891703
FAS5_12,0.008734450633891703
FAE1_14,0.008734450633891703
FAE1_16,0.008699803499823277
FAE1_18,0.007203017301603731
FAE1_20,5.800796431399699e-05
FAE1_22,5.800796431399699e-05
FAE1_24,5.800796431399699e-05
FAE1_26,4.428192030826001e-05
FAE2_14,0.008734450633891703
FAE2_16,0.008699803499823277
FAE2_18,0.007203017301603731
FAE2_20,5.800796431399699e-05
FAE2_22,5.800796431399699e-05
FAE2_24,5.800796431399699e-05
FAE2_26,4.428192030826001e-05
FAE3_14,0.008734450633891703
FAE3_16,0.008699803499823277
FAE3_18,0.007203017301603731
FAE3_20,5.800796431399699e-05
FAE3_22,5.800796431399699e-05
FAE3_24,5.800796431399699e-05
FAE3_26,4.428192030826001e-05
FAE4_14,0.008734450633891703
FAE4_16,0.008699803499823277
FAE4_18,0.007203017301603731
FAE4_20,5.800796431399699e-05
FAE4_22,5.800796431399699e-05
FAE4_24,5.800796431399699e-05
FAE4_26,4.428192030826001e-05
biomass_glc_meoh_60/40,0.08372440263613617
